,fecha,cod_ine,municipio,departamento,dosis,porcentaje
3309,2022-01-22,31405,Cuchumuela (V. G. Villarroel),Cochabamba,1,127
3310,2022-01-22,31405,Cuchumuela (V. G. Villarroel),Cochabamba,2,101
3325,2022-01-22,30702,Santivañez,Cochabamba,1,158
3326,2022-01-22,30702,Santivañez,Cochabamba,2,131
3341,2022-01-22,10302,Presto,Chuquisaca,1,23
3342,2022-01-22,10302,Presto,Chuquisaca,2,19
3357,2022-01-22,10601,Tarabuco,Chuquisaca,1,39
3358,2022-01-22,10601,Tarabuco,Chuquisaca,2,29
3373,2022-01-22,10703,Incahuasi,Chuquisaca,1,32
3374,2022-01-22,10703,Incahuasi,Chuquisaca,2,23
3389,2022-01-22,10103,Poroma,Chuquisaca,1,29
3390,2022-01-22,10103,Poroma,Chuquisaca,2,25
3405,2022-01-22,10202,Tarvita,Chuquisaca,1,36
3406,2022-01-22,10202,Tarvita,Chuquisaca,2,32
3421,2022-01-22,10704,Villa Charcas,Chuquisaca,1,31
3422,2022-01-22,10704,Villa Charcas,Chuquisaca,2,21
3437,2022-01-22,10602,Yamparaez,Chuquisaca,1,39
3438,2022-01-22,10602,Yamparaez,Chuquisaca,2,31
3453,2022-01-22,10403,Sopachuy,Chuquisaca,1,36
3454,2022-01-22,10403,Sopachuy,Chuquisaca,2,31
3469,2022-01-22,10301,Zudañez,Chuquisaca,1,35
3470,2022-01-22,10301,Zudañez,Chuquisaca,2,31
3485,2022-01-22,10303,Mojocoya,Chuquisaca,1,48
3486,2022-01-22,10303,Mojocoya,Chuquisaca,2,41
3501,2022-01-22,10201,Azurduy,Chuquisaca,1,56
3502,2022-01-22,10201,Azurduy,Chuquisaca,2,50
3517,2022-01-22,10702,San Lucas,Chuquisaca,1,49
3518,2022-01-22,10702,San Lucas,Chuquisaca,2,43
3533,2022-01-22,10304,Icla,Chuquisaca,1,50
3534,2022-01-22,10304,Icla,Chuquisaca,2,43
3549,2022-01-22,10902,Culpina,Chuquisaca,1,53
3550,2022-01-22,10902,Culpina,Chuquisaca,2,45
3565,2022-01-22,10402,Tomina,Chuquisaca,1,57
3566,2022-01-22,10402,Tomina,Chuquisaca,2,50
3581,2022-01-22,10102,Yotala,Chuquisaca,1,59
3582,2022-01-22,10102,Yotala,Chuquisaca,2,52
